,Unnamed: 0,i,j,dist,route
1853,1853,16,45,912.956,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512, 221327495]"
1855,1855,16,46,786.837,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512]"
1857,1857,16,47,1475.851,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221302248, 221298876, 221320429]"
1859,1859,16,48,942.739,"[221301713, 221301686, 221301620, 221301617, 8875025722, 8875025733, 8751578236, 3703724242, 221318190, 221318186]"
1861,1861,16,49,1343.428,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221319853]"
1863,1863,16,50,1523.899,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314]"
1865,1865,16,51,1659.389,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314, 221326495]"
1867,1867,16,52,1198.357,"[221301713, 221313774, 221328462, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 221322754, 2218015046, 221298303]"
1869,1869,16,53,1195.039,"[221301713, 221301686, 221301620, 221301617, 8875025722, 8875025733, 8751578236, 3703724242, 221318190, 221318186, 8023854732, 8209187767, 8209187735, 221308669, 6864966868]"
1871,1871,16,54,621.645,"[221301713, 221301686, 221301620, 221301617, 8875025722, 8875025733]"
1873,1873,16,55,418.572,"[221301713, 221313774, 221328462, 221313030, 221317082, 221313876, 221326609]"
1875,1875,16,56,1124.937,"[221301713, 221301686, 221301620, 221301617, 8875025722, 221318208, 8206742586, 8206742589, 2062512809, 2062512811, 7786446708, 7786446707, 7786446715, 7786446736, 7786446730, 7786446733]"
1877,1877,16,57,992.809,"[221301713, 221301686, 221301620, 221301617, 8875025722, 8875025733, 8751578236, 8751578244, 6556362348, 6410049278]"
1879,1879,16,58,1101.929,"[221301713, 221301686, 221301620, 221301617, 8875025722, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046]"
1881,1881,16,59,582.61,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
1883,1883,16,60,3885.585,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1885,1885,16,61,2118.401,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314, 221326495, 7623939008, 7623939006, 7623939005, 7623939004, 3072514305, 3072514317, 3072514520, 3072514321, 3072514515, 3072514329, 3072514331, 4828035305, 3072514433, 3072514781, 3072514770, 221308215]"
1887,1887,16,62,1321.59,"[221301713, 221301686, 221301620, 221301617, 8875025722, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046, 221323814, 6789356526, 6789356567, 2244353149, 8218358733]"
1889,1889,16,63,2343.81,"[221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 10035778613, 221311771, 10035778597, 221331687, 221331674, 221299286, 221299304, 2210591363, 2212132992, 221330557, 221330775, 2210654477, 7263611320, 8011979690, 8011979686, 8011968984, 8396107023, 8011968961, 6965100459]"
33,33,17,0,2051.752,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221313692, 221301713, 221313774, 221328462, 221311461, 2207894131, 5410931210]"
161,161,17,1,972.624,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 5410931212, 5410931555, 5410931538, 5410931210]"
284,284,17,2,1126.749,"[221305061, 221302437, 221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 5410931212, 5410931555, 5410931538, 5410931210]"
405,405,17,3,505.762,"[221319475, 221319466, 6411409259, 6411409229, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931538, 5410931210]"
524,524,17,4,849.951,"[221320236, 221319476, 221317099, 221319475, 221319466, 6411409259, 6411409229, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931538, 5410931210]"
641,641,17,5,1073.487,"[221298310, 221298303, 221320236, 221319476, 221317099, 221319475, 221319466, 6411409259, 6411409229, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931538, 5410931210]"
756,756,17,6,1250.389,"[221298350, 221298329, 221298310, 221298303, 221320236, 221319476, 221317099, 221319475, 221319466, 6411409259, 6411409229, 221319446, 5410768904, 2212132842, 221319439, 221318241, 5410931538, 5410931210]"
869,869,17,7,1253.175,"[2217994122, 221306028, 221320708, 221322754, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609, 221313876, 2207894131, 5410931210]"
980,980,17,8,934.776,"[2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609, 221313876, 2207894131, 5410931210]"
1089,1089,17,9,1072.668,"[2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609, 221313876, 2207894131, 5410931210]"
1196,1196,17,10,1362.274,"[2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609, 221313876, 2207894131, 5410931210]"
1301,1301,17,11,1530.26,"[221314437, 221328687, 2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609, 221313876, 2207894131, 5410931210]"
1404,1404,17,12,805.478,"[221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 5410931212, 5410931555, 5410931538, 5410931210]"
1505,1505,17,13,1209.767,"[221323785, 6789356541, 6789356538, 221329428, 6789359198, 8178538742, 6789359196, 221323814, 221331046, 221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 5410931212, 5410931555, 5410931538, 5410931210]"
1604,1604,17,14,1189.148,"[221323303, 221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221313692, 221301713, 221313774, 221328462, 221311461, 2207894131, 5410931210]"
1701,1701,17,15,1100.758,"[221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221313692, 221301713, 221313774, 221328462, 221311461, 2207894131, 5410931210]"
1796,1796,17,16,324.669,"[221301713, 221313774, 221328462, 221311461, 2207894131, 5410931210]"
1890,1890,17,17,0,[5410931210]
1892,1892,17,18,261.261,"[5410931210, 2207894131, 221313876, 221326609]"
1894,1894,17,19,239.73,"[5410931210, 2207894131, 221313876, 221317082]"
1896,1896,17,20,193.149,"[5410931210, 5410931538, 221318241, 221319439, 2212132842, 5410768904]"
1898,1898,17,21,2532.777,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221302057, 221298898, 2210576523, 221320438, 2210576159, 2210576586, 221323509, 2211952224, 2210576296, 221302173, 2210576380, 221306806, 221325879, 221325877, 221325874, 4704589874, 8205079452, 4705949985]"
1900,1900,17,22,1520.969,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7174134459, 7241109982, 7241109964, 5051267773, 7241109967, 221318138, 221323303, 221326414]"
1902,1902,17,23,1507.907,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512, 221327495, 7805312035, 221298857, 8433686888]"
1904,1904,17,24,1606.491,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221302227, 221321123, 221298868]"
1906,1906,17,25,1299.42,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512, 221327495, 7805312040]"
1908,1908,17,26,1111.506,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512]"
1910,1910,17,27,1175.801,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 221319014]"
1912,1912,17,28,1317.003,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148]"
1914,1914,17,29,937.028,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046, 221323814]"
1916,1916,17,30,1233.033,"[5410931210, 2207894131, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 2217993888, 221318810, 221332021]"
1918,1918,17,31,1362.817,"[5410931210, 2207894131, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 2217993888, 221318810, 221332021, 2218015174, 2218014972]"
1920,1920,17,32,1491.251,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299441, 221299172, 4681052642, 221301238, 221301244, 5051267737]"
1922,1922,17,33,456.929,"[5410931210, 2207894131, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
1924,1924,17,34,609.493,"[5410931210, 2207894131, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
1926,1926,17,35,991.938,"[5410931210, 2207894131, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 2217993888, 221318810]"
1928,1928,17,36,719.723,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 8751578244, 6556362348, 6556362356, 6556362328, 6556362368]"
1930,1930,17,37,1751.935,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887]"
1932,1932,17,38,1691.163,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 5051267779, 5051267778, 5051267777, 5051267776, 5051267775, 5051267774]"
1934,1934,17,39,1479.045,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 5051267779, 5051267778, 5051267777]"
1936,1936,17,40,1367.294,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 5051267779, 5051267778]"
1938,1938,17,41,1225.858,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780]"
1940,1940,17,42,1511.163,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 10035778613, 221311771, 10035778597, 221331687, 221331674, 221299286, 221299304, 2210591363, 221299609, 8417400956, 6456379560, 8397495484]"
1942,1942,17,43,1449.436,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 10035778613, 221311771, 10035778597, 221331687, 221331674, 221299286, 221299586, 221301342, 221301352, 221301361, 7675630687, 7675630688, 7675630699, 7675630707, 7675630708]"
1944,1944,17,44,1501.492,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 221319014, 221319024, 221327144]"
1946,1946,17,45,1237.625,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512, 221327495]"
1948,1948,17,46,1111.506,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221327512]"
1950,1950,17,47,1800.52,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221302248, 221298876, 221320429]"
1952,1952,17,48,726.408,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 3703724242, 221318190, 221318186]"
1954,1954,17,49,1668.097,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221319853]"
1956,1956,17,50,1848.568,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314]"
1958,1958,17,51,1984.058,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314, 221326495]"
1960,1960,17,52,987.391,"[5410931210, 5410931538, 221318241, 221319439, 2212132842, 5410768904, 221319446, 6411409229, 6411409259, 221319466, 221319475, 221317099, 221319476, 221320236, 221298303]"
1962,1962,17,53,978.708,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 3703724242, 221318190, 221318186, 8023854732, 8209187767, 8209187735, 221308669, 6864966868]"
1964,1964,17,54,405.314,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733]"
1966,1966,17,55,261.261,"[5410931210, 2207894131, 221313876, 221326609]"
1968,1968,17,56,900.431,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8206742586, 8206742589, 2062512809, 2062512811, 7786446708, 7786446707, 7786446715, 7786446736, 7786446730, 7786446733]"
1970,1970,17,57,776.478,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8875025733, 8751578236, 8751578244, 6556362348, 6410049278]"
1972,1972,17,58,877.423,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046]"
1974,1974,17,59,907.279,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221314410, 221336970, 6411450879, 6411450880, 6411450876, 6411450875, 221299256]"
1976,1976,17,60,4210.254,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 221319809, 221305698, 221321148, 221334557, 221332372, 221321294, 221332605, 221321337, 221302033, 7295129646, 221327399, 221333062, 221304243, 221323887, 221330151, 221324425, 6711081323, 221298925, 6721238795, 6721238792, 221315536, 221336154, 3554561964, 221336158, 3554561965, 221320460, 3554561966, 6718684213, 6718684220, 6718684221, 6718710790, 6718710788, 5051268300, 4664649270, 4664649269, 5051268425, 4664257670, 5051268424, 4664257668, 4664257669, 5051268421, 4664257664, 4664257665, 5051268478, 4664257661, 4664257658, 5051268479, 4664257657, 4664257656, 221333210, 4654717393, 4654717390, 4654717391, 5051268487, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
1978,1978,17,61,2443.07,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7241109981, 7241109959, 221327519, 221318999, 8776392434, 8035381157, 8035381156, 5051267780, 2217993838, 221319841, 221327875, 221326466, 221321314, 221326495, 7623939008, 7623939006, 7623939005, 7623939004, 3072514305, 3072514317, 3072514520, 3072514321, 3072514515, 3072514329, 3072514331, 4828035305, 3072514433, 3072514781, 3072514770, 221308215]"
1980,1980,17,62,1097.084,"[5410931210, 5410931538, 5410931555, 5410931212, 5410931522, 221308426, 221311605, 221318211, 221318208, 8206742586, 8206742589, 2062512809, 7307709774, 7307709765, 7307709764, 221325215, 221331046, 221323814, 6789356526, 6789356567, 2244353149, 8218358733]"
1982,1982,17,63,2668.479,"[5410931210, 2207894131, 221311461, 221328462, 221313774, 221301713, 221313692, 221313669, 221312937, 10035830921, 221311796, 10035778613, 221311771, 10035778597, 221331687, 221331674, 221299286, 221299304, 2210591363, 2212132992, 221330557, 221330775, 2210654477, 7263611320, 8011979690, 8011979686, 8011968984, 8396107023, 8011968961, 6965100459]"
35,35,18,0,2136.608,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609]"
163,163,18,1,1175.052,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 8425276432, 221326609]"
286,286,18,2,1329.177,"[221305061, 221302437, 221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 8425276432, 221326609]"
407,407,18,3,439.658,"[221319475, 7515688121, 2218014968, 2217993846, 2217994046, 221326609]"
526,526,18,4,783.847,"[221320236, 221319476, 221317099, 221319475, 7515688121, 2218014968, 2217993846, 2217994046, 221326609]"
643,643,18,5,865.881,"[221298310, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609]"
758,758,18,6,1042.783,"[221298350, 221298329, 221298310, 221298303, 2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609]"
871,871,18,7,991.914,"[2217994122, 221306028, 221320708, 221322754, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609]"
982,982,18,8,673.515,"[2218015046, 221322754, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609]"
1091,1091,18,9,811.407,"[2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609]"
1198,1198,18,10,1101.013,"[2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609]"
1303,1303,18,11,1268.999,"[221314437, 221328687, 2217993816, 2217993943, 2217993888, 2217993909, 2218015164, 2218015170, 2217994136, 2217993846, 2217994046, 221326609]"
1406,1406,18,12,1007.906,"[221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 8425276432, 221326609]"
1507,1507,18,13,1412.195,"[221323785, 6789356541, 6789356538, 221329428, 6789359198, 8178538742, 6789359196, 221323814, 221331046, 221325215, 7307709764, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 8425276432, 221326609]"
1606,1606,18,14,1274.004,"[221323303, 221318138, 7241109967, 7241109963, 7241109982, 7174134459, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609]"
